Entity,Code,Year,Trust the national government in this country
Albania,ALB,2020,41.4
Algeria,DZA,2020,47.8
Argentina,ARG,2020,43.9
Australia,AUS,2020,69.5
Austria,AUT,2020,73.4
Bangladesh,BGD,2020,83
Belgium,BEL,2020,54.9
Benin,BEN,2020,56.8
Bolivia,BOL,2020,42.3
Bosnia and Herzegovina,BIH,2020,24.8
Brazil,BRA,2020,40.6
Bulgaria,BGR,2020,40.4
Burkina Faso,BFA,2020,55.7
Cambodia,KHM,2020,83.8
Cameroon,CMR,2020,25.5
Canada,CAN,2020,72.6
Chile,CHL,2020,27.7
Colombia,COL,2020,43
Congo,COG,2020,51.5
Costa Rica,CRI,2020,44.9
Cote d'Ivoire,CIV,2020,40
Croatia,HRV,2020,42
Cyprus,CYP,2020,45.2
Czechia,CZE,2020,45.8
Denmark,DNK,2020,79.3
Dominican Republic,DOM,2020,72.7
Ecuador,ECU,2020,25.8
Egypt,EGY,2020,72.2
El Salvador,SLV,2020,78.5
Estonia,EST,2020,56
Ethiopia,ETH,2020,78.1
Finland,FIN,2020,80.7
France,FRA,2020,56.3
Gabon,GAB,2020,33.5
Georgia,GEO,2020,57.6
Germany,DEU,2020,82
Ghana,GHA,2020,60.6
Greece,GRC,2020,40.7
Guinea,GIN,2020,30.8
Hong Kong,HKG,2020,40
Hungary,HUN,2020,48.6
India,IND,2020,66
Indonesia,IDN,2020,60.9
Iran,IRN,2020,45.8
Iraq,IRQ,2020,34.3
Ireland,IRL,2020,79.5
Israel,ISR,2020,51.1
Italy,ITA,2020,52.3
Japan,JPN,2020,49.5
Jordan,JOR,2020,70.4
Kazakhstan,KAZ,2020,72.2
Kenya,KEN,2020,49.6
Kosovo,OWID_KOS,2020,26.3
Kyrgyzstan,KGZ,2020,57.6
Laos,LAO,2020,76.4
Latvia,LVA,2020,39.6
Lebanon,LBN,2020,15.8
Lithuania,LTU,2020,55.1
Malaysia,MYS,2020,57.6
Mali,MLI,2020,48.4
Malta,MLT,2020,80.3
Mauritius,MUS,2020,53.7
Mexico,MEX,2020,54.1
Moldova,MDA,2020,17.8
Mongolia,MNG,2020,54.8
Montenegro,MNE,2020,43.2
Morocco,MAR,2020,45.3
Myanmar,MMR,2020,91.8
Namibia,NAM,2020,42.9
Nepal,NPL,2020,50.2
Netherlands,NLD,2020,78.5
New Zealand,NZL,2020,83.7
Nicaragua,NIC,2020,54.4
Nigeria,NGA,2020,23.1
North Macedonia,MKD,2020,37.2
Norway,NOR,2020,94.3
Paraguay,PRY,2020,34.4
Peru,PER,2020,45.6
Philippines,PHL,2020,82.9
Poland,POL,2020,33.6
Portugal,PRT,2020,47.7
Romania,ROU,2020,24.3
Russia,RUS,2020,47
Senegal,SEN,2020,56.6
Serbia,SRB,2020,57
Slovakia,SVK,2020,53.5
Slovenia,SVN,2020,48.1
South Africa,ZAF,2020,50.9
South Korea,KOR,2020,52.8
Spain,ESP,2020,48.2
Sri Lanka,LKA,2020,76.3
Sweden,SWE,2020,64.7
Switzerland,CHE,2020,93.3
Taiwan,TWN,2020,65.4
Tanzania,TZA,2020,89.9
Thailand,THA,2020,55.6
Tunisia,TUN,2020,26.1
Turkey,TUR,2020,54.9
Uganda,UGA,2020,46.9
Ukraine,UKR,2020,28
United Kingdom,GBR,2020,47.7
United States,USA,2020,52.5
Uruguay,URY,2020,70.2
Uzbekistan,UZB,2020,94.5
Venezuela,VEN,2020,30.9
Zambia,ZMB,2020,47.1
Zimbabwe,ZWE,2020,69